Date,Type,Count
2/14/2018,NOTE,6
2/14/2018,CALL,5
2/15/2018,CALL,11
2/15/2018,NOTE,23
2/15/2018,TASK,31
2/16/2018,CALL,8
2/16/2018,TASK,23
2/19/2018,TASK,13
2/19/2018,CALL,12
2/19/2018,NOTE,4
2/21/2018,NOTE,22
2/21/2018,CALL,4
2/21/2018,TASK,43
2/22/2018,TASK,1
2/22/2018,NOTE,2
2/22/2018,CALL,10
2/23/2018,MEETING,1
2/23/2018,CALL,1
2/23/2018,TASK,1
2/26/2018,TASK,15
2/27/2018,TASK,6
2/28/2018,TASK,59
2/28/2018,NOTE,1
3/1/2018,TASK,13
3/2/2018,TASK,3
3/5/2018,TASK,22
3/6/2018,NOTE,2
3/6/2018,TASK,8
3/6/2018,PUBLISHING_TASK,2
3/7/2018,TASK,3
3/8/2018,TASK,6
3/9/2018,TASK,12
3/11/2018,TASK,7
3/12/2018,CALL,1
3/12/2018,NOTE,21
3/12/2018,TASK,22
3/13/2018,EMAIL,1
3/13/2018,TASK,14
3/14/2018,TASK,6
3/15/2018,TASK,25
3/16/2018,TASK,1
3/18/2018,NOTE,1
3/18/2018,PUBLISHING_TASK,1
3/20/2018,CALL,1
3/20/2018,TASK,1
3/21/2018,CALL,1
3/23/2018,TASK,12
3/23/2018,CALL,1
3/23/2018,NOTE,2
3/26/2018,TASK,29
3/26/2018,NOTE,24
3/27/2018,CALL,1
3/27/2018,TASK,1
3/27/2018,NOTE,4
3/28/2018,TASK,18
3/28/2018,NOTE,4
3/30/2018,NOTE,12
4/1/2018,NOTE,3
4/2/2018,NOTE,1
4/2/2018,TASK,6
4/3/2018,TASK,22
4/3/2018,PUBLISHING_TASK,1
4/3/2018,NOTE,18
4/4/2018,TASK,60
4/4/2018,NOTE,29
4/5/2018,TASK,19
4/6/2018,TASK,4
4/9/2018,NOTE,6
4/9/2018,TASK,4
4/10/2018,TASK,14
4/10/2018,NOTE,2
4/11/2018,TASK,12
4/11/2018,NOTE,1
4/12/2018,MEETING,2
4/12/2018,NOTE,4
4/12/2018,TASK,38
4/13/2018,NOTE,2
4/13/2018,TASK,36
4/15/2018,NOTE,3
4/15/2018,TASK,6
4/16/2018,TASK,18
4/16/2018,NOTE,8
4/17/2018,TASK,2
4/17/2018,NOTE,2
4/18/2018,TASK,22
4/19/2018,TASK,19
4/22/2018,TASK,8
4/22/2018,NOTE,1
4/23/2018,CALL,42
4/24/2018,TASK,35
4/24/2018,NOTE,2
4/27/2018,CALL,2
4/29/2018,PUBLISHING_TASK,8
4/29/2018,NOTE,2
4/30/2018,NOTE,1
4/30/2018,TASK,18
5/2/2018,TASK,2
5/2/2018,NOTE,3
5/2/2018,CALL,1
5/3/2018,NOTE,1
5/3/2018,TASK,4
5/4/2018,TASK,5
